Symbol	Frequency
e,		11.046512%
i,		10.147991%
u,		8.932346%
t,		8.509514%
s,		8.245243%
a,		6.818182%
n,		6.818182%
r,		6.078224%
o,		5.2325583%
l,		5.0739956%
m,		4.2283297%
c,		4.0697675%
d,		2.9069767%
p,		1.9027485%
v,		1.4270613%
b,		1.2684989%
q,		1.0570824%
g,		0.845666%
f,		0.845666%
h,		0.68710357%
D,		0.422833%
P,		0.36997885%
V,		0.2642706%
2,		0.2642706%
I,		0.2642706%
N,		0.2114165%
M,		0.2114165%
A,		0.15856236%
4,		0.15856236%
5,		0.15856236%
0,		0.15856236%
x,		0.15856236%
3,		0.15856236%
j,		0.10570825%
1,		0.10570825%
E,		0.10570825%
C,		0.10570825%
F,		0.10570825%
L,		0.052854124%
Q,		0.052854124%
7,		0.052854124%
8,		0.052854124%
U,		0.052854124%
S,		0.052854124%
6,		0.052854124%

Symbol	Huffman Codes
e,		011
i,		001
u,		1111
t,		1110
s,		1101
a,		1011
n,		1010
r,		1000
o,		0101
l,		0100
m,		0000
c,		11001
d,		10010
p,		110001
v,		000111
b,		000110
q,		000100
g,		1001111
f,		1001110
h,		1001100
D,		11000001
P,		10011010
V,		110000111
2,		110000101
I,		00010100
N,		110000000
M,		100110110
A,		1100001101
4,		000101111
5,		000101100
0,		000101101
x,		000101010
3,		000101110
j,		1001101111
1,		0001010111
E,		1100001000
C,		1100001100
F,		1100000011
L,		10011011100
Q,		10011011101
7,		11000010011
8,		11000000100
U,		0001010110
S,		11000000101
6,		11000010010

Total Bits: 8019
